HEX;MNE;ADDRESSING;ARGS LEN (DEFAULT: 0 bytes)
x0000;NOP;impl;
x0001;KILL;impl;
x0002;ARET;impl;
x0003;CPUID;impl;
x0004;INA;impl;
x0005;INB;impl;
x0006;INI;impl;
x0007;INJ;impl;
x0008;DEA;impl;
x0009;DEB;impl;
x000A;DEI;impl;
x000B;DEJ;impl;
x000C;MSB;A;
x000D;MSB;B;
x000E;SEI;impl;
x000F;SED;impl;
x0010;CLC;impl;
x0011;CLO;impl;
x0012;CLD;impl;
x0013;CLI;impl;
x0014;ADA;B;
x0015;ADB;A;
x0016;ANA;B;
x0017;ANB;A;
x0018;ANA;I;
x0019;ANB;I;
x001A;CMAH;BH;
x001B;CMBH;AH;
x001C;CMPA;B;
x001D;CMPB;A;
x001E;CMPA;I;
x001F;CMPB;I;
x0020;CMPI;A;
x0021;JCC;rel with J;
x0022;JOC;rel with J;
x0023;JNE;rel with J;
x0024;JNC;rel with J;
x0025;JCS;rel with J;
x0026;JOS;rel with J;
x0027;JEQ;rel with J;
x0028;JNS;rel with J;
x0029;NOP;impl;
x002A;NOP;impl;
x002B;NOP;impl;
x002C;NOP;impl;
x002D;TBAH;impl;
x002E;TABH;impl;
x002F;NOP;impl;
x0030;NOP;impl;
x0031;TAHJ;impl;
x0032;TBHJ;impl;
x0033;NOP;impl;
x0034;NOP;impl;
x0035;NOP;impl;
x0036;ORA;B;
x0037;ORB;A;
x0038;ORA;I;
x0039;ORB;I;
x003A;PSH;A;
x003B;PSH;B;
x003C;PSH;AH;
x003D;PSH;AL;
x003E;READ;A;
x003F;READ;B;
x0040;SHL;A;
x0041;SHL;B;
x0042;SHL;I;
x0043;SHR;A;
x0044;SHR;B;
x0045;SHR;I;
x0046;SUA;B;
x0047;SUB;A;
x0048;SUA;I;
x0049;SUB;I;
x004A;TAB;impl;
x004B;TAI;impl;
x004C;TBA;impl;
x004D;TBI;impl;
x004E;TIS;impl;
x004F;TSB;impl;
x0050;WRTI;AH;
x0051;WRTI;BH;
x0052;XORA;B;
x0053;XORB;A;
x0054;XORA;I;
x0055;XORB;I;
x0056;JMP;A;
x0057;JMP;B;
x0058;JMP;I;
x0059;TBAL;impl;
x005A;TABL;impl;
x005B;TAD;impl;
x005C;TAIMH;impl;
x005D;TAIML;impl;
x005E;PSH;impl;
x005F;TAEMH;impl;
x0060;TAEML;impl
x0061;CLS;impl;
x0062;SES;impl;
x0063;JMP;rel with J;
x0064;NOP;impl;
x....;...;...;
x3FFC;NOP;impl;
x3FFD;KILL;impl;
x3FFE;REST;impl;
x3FFF;BRK;impl;
x4000;NOP;imm;1
x4001;PSH;imm;1
x4002;PSH;zpg indexed;1
x4003;PSH;zpg;1
x4004;ADA;imm;1
x4005;ADA;zpg;1
x4006;ADA;zpg indexed;1
x4007;ADB;imm;1
x4008;ADB;zpg;1
x4009;ADB;zpg indexed;1
x400A;ANA;imm;1
x400B;ANA;zpg;1
x400C;ANA;zpg indexed;1
x400D;ANB;imm;1
x400E;ANB;zpg;1
x400F;ANB;zpg indexed;1
x4010;JCC;rel;1
x4011;JOC;rel;1
x4012;JNE;rel;1
x4013;JNC;rel;1
x4014;JCS;rel;1
x4015;JOS;rel;1
x4016;JEQ;rel;1
x4017;JNS;rel;1
x4018;LDAH;imm;1
x4019;LDAL;imm;1
x401A;LDBH;imm;1
x401B;LDBL;imm;1
x401C;LDJ;imm;1
x401D;ORA;imm;1
x401E;ORA;zpg;1
x401F;ORA;zpg indexed;1
x4020;ORB;imm;1
x4021;ORB;zpg;1
x4022;ORB;zpg indexed;1
x4023;NOP;imm;1
x4024;READ;zpg;1
x4025;READ;zpg indexed;1
x4026;STA;zpg;1
x4027;STA;zpg indexed;1
x4028;STAH;zpg;1
x4029;STAH;zpg indexed;1
x402A;STB;zpg;1
x402B;STB;zpg indexed;1
x402C;STBH;zpg;1
x402D;STBH;zpg indexed;1
x402E;STI;zpg;1
x402F;STJ;zpg;1
x4030;SUA;imm;1
x4031;SUA;zpg;1
x4032;SUA;zpg indexed;1
x4033;SUB;imm;1
x4034;SUB;zpg;1
x4035;SUB;zpg indexed;1
x4036;WRTI;imm;1
x4037;WRTI;zpg;1
x4038;NOP;zpg indexed;1
x4039;XORA;imm;1
x403A;XORA;zpg;1
x403B;XORA;zpg indexed;1
x403C;XORB;imm;1
x403D;XORB;zpg;1
x403E;XORB;zpg indexed;1
x403F;CMAH;imm;1
x4040;CMAH;zpg;1
x4041;CMAH;zpg indexed;1
x4042;CMBH;imm;1
x4043;CMBH;zpg;1
x4044;CMBH;zpg indexed;1
x4045;CMPA;zpg;1
x4046;CMPA;zpg indexed;1
x4047;CMPB;zpg;1
x4048;CMPB;zpg indexed;1
x4049;CMPI;zpg;1
